"""","家計外消費支出","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","546.2557764663151","17880.510423016407","2213.935604034574","499.0039732552734","2543.8502234696202","1572.7019766278215","91.82124449121017","27199.920778638785","52548.0"
"02 鉱業","2318.04693751432","82409.06764177544","10791.456772801916","8035.498805529295","23237.011902809718","23638.742245149107","2077.7714659550493","535515.4042284653","688023.0000000001"
"03 製造業","14060.786544959536","393613.7092318906","62432.3992483213","47271.39574734255","164198.03751593689","27965.74017000575","2864.9347630009797","753575.9967785426","1465983.0"
"04 建設","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"05 電力・ガス・水道","206.43566011607527","11078.840658552082","1015.8369007564236","283.485224175946","596.6429678728239","43.892629723138285","22.495151705699783","7093.3708070978155","20341.000000000007"
"06 商業","4706.784881363334","137264.00917089617","9718.815537274086","6291.527814711171","19442.82582247381","884.8629012001297","174.390371803316","50340.78350027798","228824.00000000003"
"07 金融・保険","148.04041699179274","26879.2337771976","2529.828470057515","583.5015367781384","833.0243851265304","28.359756483417424","12.370462799612605","4314.641194565392","35328.99999999999"
"08 不動産","38.064676169759515","12400.487180598713","293.930575821479","56.04758084806336","106.05891521264728","3.951105825913814","1.2685173842609871","566.191448139163","13466.0"
"09 運輸・郵便","2067.32073723098","54837.431326234044","10162.743195212297","4887.002421197552","8484.036338139309","695.1080092249957","138.70722944744097","46955.650743313374","128227.99999999997"
"10 情報通信","1594.182138547907","77825.08078001565","10978.64070269943","5308.966075543014","25231.400616419945","72.8113211000443","43.277902100119796","18753.640463573895","139808.0"
"11 公務","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12 サ－ビス","14857.757953876719","126396.91033502751","126126.29129413405","6143.336395948089","10964.245494274592","259.0904583268642","122.90202636725131","40779.46604204492","325650.0"
"13 分類不明","3.89694607277906","86.51422130420855","29.38444230276262","26.114148788828807","33.571534425445236","0.7859020568948708","0.3215991942629014","113.41120585481798","294.0"
"合　　計","40547.57266930952","940671.7947465084","236293.26274341583","79385.87972411791","255670.70571616132","55166.046475724084","5550.260734249203","1485208.477190514","3098494.0"
