"""","家計外消費支出","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","平均"
"01 農林水産業","0.010395367596603393","0.34027004687174406","0.04213168158701709","0.009496155386604123","0.04841002937256642","0.029928864592902137","0.0017473784823629857","0.5176204761101999","1.0"
"02 鉱業","0.0033691416384544113","0.1197766174121729","0.01568473259295389","0.01167911364231907","0.033773597543700885","0.03435748840540084","0.0030199157091478756","0.7783393930558502","1.0"
"03 製造業","0.009591370803726603","0.26849814031396724","0.04258739647616739","0.032245527913586","0.11200541719510859","0.019076442339376207","0.0019542755700447958","0.5140414293880233","1.0"
"04 建設","-","-","-","-","-","-","-","-","-"
"05 電力・ガス・水道","0.010148746871642259","0.5446556540264529","0.04994036186797223","0.013936641471704729","0.029332037160062125","0.0021578403088903333","0.0011059019569195111","0.34872281633635577","1.0"
"06 商業","0.020569454608622053","0.599867186881167","0.04247288543716605","0.027495052156728185","0.08496847281086689","0.0038670021553688845","7.621157387481906E-4","0.21999783021133262","1.0"
"07 金融・保険","0.00419033703166783","0.760826340320915","0.07160770104043464","0.016516220011269452","0.023579053613929934","8.027330658500787E-4","3.501503806961026E-4","0.12212746453523714","1.0"
"08 不動産","0.002826724800962388","0.9208738437991024","0.021827608482212907","0.004162155120159168","0.007876051924301743","2.934134728882975E-4","9.420149890546466E-5","0.042046000901467616","1.0"
"09 運輸・郵便","0.016122225545364355","0.4276556705729954","0.07925525778466715","0.03811181973669989","0.0661636798370037","0.005420875387785787","0.001081723410233654","0.36618874772525023","1.0"
"10 情報通信","0.011402653199730394","0.5566568492505125","0.07852655572427493","0.03797326387290437","0.18047179429231477","5.207950982779548E-4","3.0955240115100564E-4","0.1341385361608341","1.0"
"11 公務","-","-","-","-","-","-","-","-","-"
"12 サ－ビス","0.04562492846269528","0.38813729567028254","0.38730628372219883","0.018864843838317488","0.0336688023776281","7.956101898567917E-4","3.774052705888264E-4","0.12522483046843214","1.0"
"13 分類不明","0.013254918614894761","0.2942660588578522","0.09994708266245789","0.08882363533615241","0.11418889260355522","0.0026731362479417375","0.001093874810418032","0.3857524008667278","1.0"
"平　　均","0.013086219521260819","0.3035900004152044","0.07626068107390746","0.02562079504563117","0.08251450727874939","0.017804148233213968","0.0017912769023432683","0.4793323715296896","1.0"
